N,Iterative,Dynamic Programming,Recursive
1,0,0,0
21,20,20,17710
41,40,40,267914295
61,60,60,-
81,80,80,-
101,100,100,-
121,120,120,-
141,140,140,-
161,160,160,-
181,180,180,-
201,200,200,-
221,220,220,-
241,240,240,-
261,260,260,-
281,280,280,-
301,300,300,-
321,320,320,-
341,340,340,-
361,360,360,-
381,380,380,-
401,400,400,-
421,420,420,-
441,440,440,-
461,460,460,-
481,480,480,-
501,500,500,-
521,520,520,-
541,540,540,-
561,560,560,-
581,580,580,-
601,600,600,-
621,620,620,-
641,640,640,-
661,660,660,-
681,680,680,-
701,700,700,-
721,720,720,-
741,740,740,-
761,760,760,-
781,780,780,-
801,800,800,-
821,820,820,-
841,840,840,-
861,860,860,-
881,880,880,-
901,900,900,-
921,920,920,-
941,940,940,-
961,960,960,-
981,980,980,-
